word,score
scrat,4464
thine,4464
redia,4463
terga,4463
rayed,4463
dance,4463
peats,4462
liers,4461
tapes,4461
dores,4461
inert,4460
apery,4460
shero,4460
shake,4460
satin,4460
cored,4460
deals,4459
bates,4459
valet,4459
ahent,4458
scary,4458
kiore,4457
volae,4456
radge,4456
brule,4456
miter,4455
siled,4455
sapor,4455
tiger,4455
gaper,4455
krone,4455
rains,4454
rosed,4454
siver,4454
super,4454
tiles,4453
ropey,4453
drant,4453
snide,4453
shalt,4453
brute,4452
cosey,4451
noule,4451
ricey,4450
eliad,4450
hales,4449
laity,4449
atoke,4448
olent,4448
solan,4448
laden,4448
teach,4448
timer,4447
sweat,4447
suety,4447
snort,4447
acute,4446
anime,4446
raphe,4446
stein,4446
sowle,4446
snail,4446
smart,4445
liars,4444
pilea,4444
otary,4444
satyr,4444
snirt,4443
trash,4443
yates,4442
triol,4442
coney,4442
salon,4442
diner,4442
bales,4441
cairn,4441
ragde,4441
loran,4440
losen,4440
petal,4440
caneh,4440
soily,4440
tyler,4439
heard,4439
miler,4437
utile,4437
redan,4437
naker,4437
clies,4436
twire,4436
padle,4436
spuer,4436
senti,4435
brave,4435
eards,4434
gates,4434
wears,4434
valse,4434
saith,4434
vares,4433
meany,4432
retag,4431
claro,4431
blert,4431
older,4431
beard,4431
hance,4430
liney,4429
swole,4429
brent,4429
stain,4429
besat,4428
merit,4428
groat,4428
repla,4427
heals,4426
yager,4426
their,4426
prune,4426
neath,4425
fayer,4425
coper,4425
slove,4425
swile,4425
rheas,4424
yales,4424
rotan,4424
steno,4424
mates,4424
fader,4424
pride,4424
blade,4424
resin,4423
teads,4423
santo,4423
taube,4422
lades,4422
heats,4422
naled,4422
cesta,4421
stoep,4421
laxer,4421
raped,4421
slive,4421
tache,4420
bores,4420
clast,4420
paeon,4419
feria,4419
cased,4419
shule,4419
panes,4418
beals,4418
fared,4418
beano,4417
aglet,4416
gales,4416
tames,4416
salut,4416
shoat,4416
tarns,4415
oracy,4415
story,4415
shute,4415
acers,4414
snead,4414
yeard,4414
beats,4414
blart,4414
beaut,4413
riled,4413
eland,4413
teins,4413
yrent,4412
macle,4412
brant,4412
tower,4411
aunes,4410
scena,4410
drail,4410
arefy,4410
caned,4410
gamer,4410
snipe,4410
sprue,4410
grave,4410
inure,4409
plage,4409
laris,4408
lures,4407
raven,4407
rhies,4406
males,4406
tails,4406
basen,4405
rahed,4405
toker,4405
freit,4405
coaly,4405
cotes,4404
certs,4404
trued,4404
yores,4403
ceros,4403
deist,4401
biner,4401
lepra,4400
crues,4400
acred,4400
awner,4400
purse,4400
erics,4399
rowie,4399
garbe,4399
glade,4399
rotas,4398
alkie,4398
roily,4398
shave,4398
hayle,4397
rakes,4397
troad,4397
avise,4396
camel,4396
peril,4395
gores,4395
flote,4395
cream,4395
skite,4395
