word,score
meany,17728
retag,17724
claro,17724
blert,17724
older,17724
beard,17724
hance,17720
liney,17716
swole,17716
brent,17716
stain,17716
besat,17712
merit,17712
groat,17712
repla,17708
heals,17704
yager,17704
their,17704
prune,17704
neath,17700
fayer,17700
coper,17700
slove,17700
swile,17700
rheas,17696
yales,17696
rotan,17696
steno,17696
mates,17696
fader,17696
pride,17696
blade,17696
resin,17692
teads,17692
santo,17692
taube,17688
lades,17688
heats,17688
naled,17688
cesta,17684
stoep,17684
laxer,17684
raped,17684
slive,17684
tache,17680
bores,17680
clast,17680
paeon,17676
feria,17676
cased,17676
shule,17676
panes,17672
beals,17672
fared,17672
beano,17668
aglet,17664
gales,17664
tames,17664
salut,17664
shoat,17664
tarns,17660
oracy,17660
story,17660
shute,17660
acers,17656
snead,17656
yeard,17656
beats,17656
blart,17656
beaut,17652
riled,17652
eland,17652
teins,17652
yrent,17648
macle,17648
brant,17648
tower,17644
aunes,17640
scena,17640
drail,17640
arefy,17640
caned,17640
gamer,17640
snipe,17640
sprue,17640
grave,17640
inure,17636
plage,17636
laris,17632
lures,17628
raven,17628
rhies,17624
males,17624
tails,17624
basen,17620
rahed,17620
toker,17620
freit,17620
coaly,17620
cotes,17616
certs,17616
trued,17616
yores,17612
ceros,17612
deist,17604
biner,17604
lepra,17600
crues,17600
acred,17600
awner,17600
purse,17600
erics,17596
rowie,17596
garbe,17596
glade,17596
rotas,17592
alkie,17592
roily,17592
shave,17592
hayle,17588
rakes,17588
troad,17588
avise,17584
camel,17584
peril,17580
gores,17580
flote,17580
cream,17580
skite,17580
praty,17580
tepal,17576
cheat,17576
twoer,17576
poake,17572
geals,17572
triad,17572
nosey,17568
ratos,17568
sharn,17568
froes,17568
delay,17568
shent,17568
artis,17564
lites,17564
flite,17564
toled,17560
twier,17560
sieth,17560
rents,17556
crias,17556
geats,17556
bayle,17556
renos,17552
peans,17552
fries,17552
naive,17552
escar,17548
ablet,17548
grant,17548
coles,17544
alecs,17544
hoary,17544
clave,17544
mores,17540
frena,17540
feuar,17536
triac,17536
raged,17536
sined,17536
spice,17536
urial,17532
istle,17532
meals,17532
sabed,17532
sprat,17532
tines,17528
stoke,17528
slept,17528
deans,17524
prial,17524
tabes,17524
cagey,17524
raves,17524
ovate,17520
quare,17520
comer,17520
scute,17520
eloin,17516
amice,17516
meats,17516
singe,17512
dairy,17508
buret,17508
coria,17504
kaies,17504
spean,17504
shyer,17504
crost,17504
parve,17504
bride,17504
stoai,17500
bosie,17500
miser,17500
liger,17500
sabir,17500
doest,17500
harem,17500
filer,17500
armed,17500
force,17500
enrol,17496
arish,17496
eruct,17496
suber,17496
aspie,17492
rules,17492
steam,17492
trend,17492
aides,17488
inlet,17488
rouge,17488
carny,17488
chile,17488
vitae,17484
velar,17484
solve,17484
banes,17480
creak,17480
islet,17476
brail,17476
repot,17476
shred,17476
corbe,17476
eclat,17472
trefa,17472
leach,17472
sowne,17472
heist,17472
reaks,17468
rodes,17468
sutra,17468
pried,17468
ashet,17464
bonie,17464
miner,17464
aroid,17456
sield,17456
nicer,17452
cider,17452
lunet,17448
fates,17448
pacey,17440
airts,17436
torah,17432
pagle,17432
wader,17432
metal,17428
scent,17428
hotel,17424
avert,17424
poley,17420
chose,17420
sorex,17420
onery,17416
haets,17416
facet,17416
spelt,17416
goary,17412
lucre,17408
crans,17408
cutie,17408
poule,17408
burse,17408
wared,17408
reman,17404
penal,17404
belay,17404
prime,17404
blame,17404
gride,17404
teams,17400
baels,17400
pieta,17396
sheol,17396
morat,17396
sorda,17392
botel,17392
steak,17392
drome,17392
voile,17388
swart,17388
swine,17388
nerts,17380
notes,17380
voter,17380
hairy,17376
grail,17376
angle,17376
tilde,17376
caron,17376
pawer,17376
spake,17376
onset,17372
leads,17372
culet,17372
cavie,17368
slaid,17368
moste,17364
pated,17364
logie,17360
folie,17360
beans,17360
fouer,17360
scant,17360
laird,17356
kesar,17356
avine,17356
teloi,17348
arson,17348
bread,17348
spalt,17348
lames,17344
larns,17340
tubae,17340
manes,17340
geist,17340
erbia,17336
glair,17336
waney,17336
bluer,17336
telos,17332
apers,17332
tonal,17332
short,17332
cades,17328
liber,17328
monte,17328
spait,17328
monie,17324
sweal,17324
lower,17324
daker,17324
soapy,17316
shirt,17316
tuyer,17312
sneap,17312
tosed,17312
tains,17312
amies,17308
noles,17308
anted,17308
aygre,17304
ropes,17304
unite,17304
pelta,17300
hires,17300
scray,17300
hoast,17300
remit,17296
anker,17296
douse,17296
ergot,17296
yeans,17292
cameo,17292
rices,17292
carls,17292
fores,17292
paled,17292
wrest,17292
opter,17288
waide,17288
wries,17288
paver,17288
entia,17284
ceils,17284
polar,17284
asker,17284
denay,17284
feals,17284
piste,17284
skart,17284
serif,17280
stove,17280
death,17276
carts,17276
gruel,17276
toned,17276
horde,17276
delta,17272
gilet,17272
bathe,17272
noria,17268
sehri,17268
feats,17268
cures,17268
rosit,17268
slued,17268
boast,17268
opera,17264
astir,17264
poral,17264
diary,17264
stive,17264
holey,17260
cones,17260
geans,17260
rudie,17260
laced,17260
ileac,17256
snoep,17256
puler,17256
stroy,17256
shaly,17256
entry,17252
motel,17252
simar,17252
vaute,17252
taroc,17252
rifle,17252
strew,17252
cloye,17248
meril,17248
regna,17248
maple,17248
grope,17248
liras,17244
chert,17244
borde,17244
lirot,17240
enarm,17240
rohes,17240
parol,17240
inset,17240
preon,17240
doers,17236
goest,17236
sweir,17236
gluer,17236
lover,17236
rifte,17236
gripe,17232
pryse,17228
brome,17228
whale,17224
spyre,17224
wrast,17224
means,17220
bagie,17220
turme,17220
sixer,17220
