tries,988,2324,860,1824,1244,284,612,640,224,56,56,104,24,16,4,0,0,0,0,0,0,19444
score,1020,2248,1204,1752,1176,516,456,408,184,144,40,36,24,12,36,0,0,0,0,0,4,19432
stone,1024,2360,1308,1540,1156,544,468,296,268,180,24,12,32,8,32,4,0,0,0,0,4,19428
taper,1072,2328,736,1924,944,536,808,364,196,128,100,60,8,32,20,0,0,0,0,0,4,19424
sayne,908,2400,1332,1376,1620,456,276,424,348,60,20,24,16,0,0,0,0,0,0,0,0,19420
chare,1184,2300,1000,1584,1256,472,480,364,268,156,40,56,44,24,28,0,4,0,0,0,0,19416
relay,860,2296,768,2276,1144,348,644,488,240,44,44,24,40,20,12,4,4,0,0,0,4,19412
safer,1148,2052,1176,1704,1212,576,548,400,160,168,40,44,20,0,8,0,0,0,0,0,4,19408
deair,884,2464,828,1876,1328,276,504,628,216,48,68,76,52,8,0,0,4,0,0,0,0,19396
clear,996,2380,516,2108,1308,228,620,552,252,68,64,116,24,16,8,0,0,0,0,0,4,19396
tiler,836,2476,632,2296,1024,476,676,352,220,112,44,40,44,20,12,0,0,0,0,0,0,19392
arets,908,2128,636,2340,1036,152,1028,548,124,16,172,116,52,0,0,4,0,0,0,0,0,19388
shoer,1116,2408,992,1596,1296,648,316,284,356,96,32,8,68,32,4,4,0,0,4,0,0,19388
farle,1168,1904,1268,1700,1292,492,524,520,172,48,44,80,20,12,8,0,0,8,0,0,0,19384
thale,980,2336,1200,1692,1132,504,496,352,272,104,72,68,28,12,8,0,4,0,0,0,0,19380
aloes,644,2492,856,2024,1368,256,796,504,172,36,64,32,12,4,0,0,0,0,0,0,0,19376
terai,776,2208,500,2620,928,248,1084,528,140,8,92,96,24,4,0,4,0,0,0,0,0,19376
ursae,808,2356,764,2080,1476,204,568,640,204,8,24,108,20,0,0,0,0,0,0,0,0,19376
haler,900,2288,836,2264,864,540,792,272,224,128,68,40,8,24,12,0,0,0,0,0,0,19376
caste,992,2216,1212,1672,1328,372,548,456,192,60,72,68,36,12,20,0,0,0,0,0,4,19372
shier,1092,2416,1096,1604,1172,672,292,312,396,96,16,20,40,20,12,0,0,0,4,0,0,19372
uraei,456,2728,764,2184,1432,220,564,680,200,0,12,12,8,0,0,0,0,0,0,0,0,19368
reans,876,2276,580,2200,1292,236,852,568,188,32,72,60,20,0,0,4,4,0,0,0,0,19368
crape,1216,2192,1148,1564,1180,516,464,400,260,136,48,40,40,20,28,4,4,0,0,0,0,19368
teras,908,2180,584,2432,868,228,980,560,168,8,200,104,28,8,0,4,0,0,0,0,0,19360
sawer,1192,2064,1152,1688,1172,604,548,404,128,164,32,52,24,16,16,0,0,4,0,0,0,19360
brace,1304,2028,1336,1456,1132,640,460,360,236,156,52,24,32,24,16,0,0,0,0,0,4,19360
plate,1020,2344,1256,1584,1116,520,492,400,228,112,48,80,16,12,16,0,8,4,0,0,4,19356
steal,884,2672,540,2096,956,364,700,396,276,88,124,48,76,8,16,4,4,4,0,0,4,19348
sated,1052,2096,1340,1516,1420,500,492,464,160,60,44,92,16,4,0,0,0,4,0,0,0,19348
baler,1164,2192,900,1944,932,568,632,328,276,124,48,92,24,20,8,0,4,0,0,0,4,19344
saker,1180,2092,1112,1692,1180,620,548,416,116,156,36,68,20,4,20,0,0,0,0,0,0,19336
