round,guess_word,best_next_word,no_of_possibilities
3,roate 00002;sling 00200;chide 10202,juice,1
3,roate 00002;sling 00200;chide 22202,chime,1
3,roate 00002;sling 00200;chide 22222,chide,1
2,roate 00002;sling 00201,guide,1
2,roate 00002;sling 00210,knife,1
2,roate 00002;sling 00220,whine,1
2,roate 00002;sling 01000,abbed,4
3,roate 00002;sling 01000;abbed 00010,cycle,1
3,roate 00002;sling 01000;abbed 00011,delve,1
3,roate 00002;sling 01000;abbed 00020,melee,1
3,roate 00002;sling 01000;abbed 01010,belle,1
2,roate 00002;sling 01001,bugle,3
3,roate 00002;sling 01001;bugle 00112,ledge,1
3,roate 00002;sling 01001;bugle 22112,bulge,1
3,roate 00002;sling 01001;bugle 22222,bugle,1
2,roate 00002;sling 01010,uncle,1
2,roate 00002;sling 01011,lunge,1
2,roate 00002;sling 01100,belie,2
3,roate 00002;sling 01100;belie 20112,bible,1
3,roate 00002;sling 01100;belie 22222,belie,1
2,roate 00002;sling 01101,bilge,2
3,roate 00002;sling 01101;bilge 02122,liege,1
3,roate 00002;sling 01101;bilge 22222,bilge,1
2,roate 00002;sling 01200,exile,2
3,roate 00002;sling 01200;exile 00222,while,1
3,roate 00002;sling 01200;exile 22222,exile,1
2,roate 00002;sling 01201,guile,1
2,roate 00002;sling 02000,flume,4
3,roate 00002;sling 02000;flume 02202,elude,1
3,roate 00002;sling 02000;flume 02222,plume,1
3,roate 00002;sling 02000;flume 22202,fluke,1
3,roate 00002;sling 02000;flume 22222,flume,1
2,roate 00002;sling 02200,elide,1
2,roate 00002;sling 02201,glide,1
2,roate 00002;sling 10001,geese,1
2,roate 00002;sling 10010,dense,2
3,roate 00002;sling 10010;dense 01112,ensue,1
3,roate 00002;sling 10010;dense 22222,dense,1
2,roate 00002;sling 10100,issue,1
2,roate 00002;sling 10201,guise,1
2,roate 00002;sling 11000,pulse,1
2,roate 00002;sling 20001,segue,1
2,roate 00002;sling 20010,sense,1
2,roate 00002;sling 20020,scene,1
2,roate 00002;sling 20100,sieve,1
2,roate 00002;sling 20101,siege,1
2,roate 00002;sling 20110,since,1
2,roate 00002;sling 20111,singe,1
2,roate 00002;sling 20200,spice,3
3,roate 00002;sling 20200;spice 20202,seize,1
3,roate 00002;sling 20200;spice 22202,spike,1
3,roate 00002;sling 20200;spice 22222,spice,1
2,roate 00002;sling 20210,snide,2
3,roate 00002;sling 20210;snide 22202,snipe,1
3,roate 00002;sling 20210;snide 22222,snide,1
2,roate 00002;sling 20220,aheap,3
3,roate 00002;sling 20220;aheap 00100,swine,1
3,roate 00002;sling 20220;aheap 00101,spine,1
3,roate 00002;sling 20220;aheap 02100,shine,1
2,roate 00002;sling 21200,smile,1
2,roate 00002;sling 22200,ached,3
3,roate 00002;sling 22200;ached 00010,slime,1
3,roate 00002;sling 22200;ached 00011,slide,1
3,roate 00002;sling 22200;ached 01010,slice,1
1,roate 00010,shunt,63
2,roate 00010;shunt 00001,timid,1
2,roate 00010;shunt 00002,digit,3
3,roate 00010;shunt 00002;digit 01002,twixt,1
3,roate 00010;shunt 00002;digit 02022,limit,1
3,roate 00010;shunt 00002;digit 22222,digit,1
2,roate 00010;shunt 00021,tying,1
2,roate 00010;shunt 00022,flint,2
3,roate 00010;shunt 00022;flint 02222,glint,1
3,roate 00010;shunt 00022;flint 22222,flint,1
2,roate 00010;shunt 00101,tulip,1
2,roate 00010;shunt 00102,badge,3
3,roate 00010;shunt 00102;badge 00000,quilt,1
3,roate 00010;shunt 00102;badge 00010,guilt,1
3,roate 00010;shunt 00102;badge 20000,built,1
2,roate 00010;shunt 00111,tunic,2
3,roate 00010;shunt 00111;tunic 11120,until,1
3,roate 00010;shunt 00111;tunic 22222,tunic,1
2,roate 00010;shunt 00112,unfit,4
3,roate 00010;shunt 00112;unfit 12012,input,1
3,roate 00010;shunt 00112;unfit 22002,uncut,1
3,roate 00010;shunt 00112;unfit 22022,unlit,1
3,roate 00010;shunt 00112;unfit 22222,unfit,1
2,roate 00010;shunt 00222,blunt,1
2,roate 00010;shunt 01001,hyped,6
3,roate 00010;shunt 01001;hyped 10000,witch,1
3,roate 00010;shunt 01001;hyped 10001,ditch,1
3,roate 00010;shunt 01001;hyped 10100,pitch,1
3,roate 00010;shunt 01001;hyped 11000,itchy,1
3,roate 00010;shunt 01001;hyped 11100,pithy,1
3,roate 00010;shunt 01001;hyped 20000,hitch,1
2,roate 00010;shunt 01002,awful,5
3,roate 00010;shunt 01002;awful 00000,might,2
4,roate 00010;shunt 01002;awful 00000;might 02222,tight,1
4,roate 00010;shunt 01002;awful 00000;might 22222,might,1
3,roate 00010;shunt 01002;awful 00001,light,1
3,roate 00010;shunt 01002;awful 00100,fight,1
3,roate 00010;shunt 01002;awful 01000,wight,1
2,roate 00010;shunt 01012,night,1
2,roate 00010;shunt 01101,aband,3
3,roate 00010;shunt 01101;aband 00000,hutch,1
3,roate 00010;shunt 01101;aband 00001,dutch,1
3,roate 00010;shunt 01101;aband 01000,butch,1
2,roate 00010;shunt 02001,thick,2
3,roate 00010;shunt 02001;thick 22200,thigh,1
3,roate 00010;shunt 02001;thick 22222,thick,1
2,roate 00010;shunt 02021,thing,2
3,roate 00010;shunt 02021;thing 22220,think,1
3,roate 00010;shunt 02021;thing 22222,thing,1
2,roate 00010;shunt 02201,thumb,2
3,roate 00010;shunt 02201;thumb 22220,thump,1
3,roate 00010;shunt 02201;thumb 22222,thumb,1
2,roate 00010;shunt 10001,tipsy,1
