word,score
4*5-3=17,96275
5*6-1=29,96274
90-16=74,96272
8+9-4=13,96267
4*3+6=18,96267
35+29=64,96258
80-17=63,96255
5+4*2=13,96249
16+34=50,96247
14+36=50,96234
57+41=98,96230
9*3-6=21,96227
23+17=40,96223
6*5-1=29,96219
34+52=86,96212
5*4-3=17,96204
38+19=57,96201
8+3*2=14,96200
74+15=89,96198
48+12=60,96192
25+39=64,96186
73+16=89,96182
8-3+7=12,96178
3*5+6=21,96177
37+54=91,96173
32+54=86,96166
9-4+7=12,96165
31+56=87,96161
5+2*4=13,96155
37+61=98,96153
7-3+8=12,96146
4*5-7=13,96144
9-2+7=14,96140
75+14=89,96139
3+6*2=15,96137
6*2+5=17,96137
47+51=98,96134
86-37=49,96132
42+18=60,96128
3*4+9=21,96125
4*2+9=17,96123
46+32=78,96121
8+4*2=16,96114
39+25=64,96107
8-2+7=13,96104
61+37=98,96102
14-2*3=8,96101
86-39=47,96097
86-47=39,96093
7-4+9=12,96074
5*4-7=13,96073
1+8*3=25,96072
7-2+8=13,96072
8*3+1=25,96068
42+36=78,96062
86-49=37,96058
2*6+7=19,96052
36+42=78,96052
7-2+9=14,96049
64+23=87,96039
29+35=64,96035
51+46=97,96029
4*6-5=19,96026
4*6-9=15,96025
3*9+1=28,96025
8+2*4=16,96020
32+46=78,95993
3*7-5=16,95986
39+18=57,95973
3+2*6=15,95971
4*3+9=21,95954
78+15=93,95952
5*3+6=21,95935
41+56=97,95933
14-3*2=8,95912
6*4-5=19,95900
6*4-9=15,95899
75+18=93,95875
13-2*4=5,95875
3*7-6=15,95866
63+24=87,95838
9*3+1=28,95821
16-2*4=8,95818
51+47=98,95816
38+12=50,95804
39+21=60,95771
7*3-5=16,95767
1+3*8=25,95746
5*6-9=21,95744
32+18=50,95740
31+67=98,95739
9-5+8=12,95723
41+57=98,95720
48+25=73,95702
29+31=60,95699
6*5-9=21,95689
6*2+7=19,95669
1+9*3=28,95665
8-5+9=12,95664
2*7+5=19,95659
9-2+8=15,95658
7*3-6=15,95647
45+28=73,95625
24+63=87,95604
3*4+5=17,95602
8-2+9=15,95599
13-4*2=5,95592
13+2-9=6,95586
3*5+4=19,95571
80-24=56,95568
28+45=73,95561
4*7+1=29,95560
17+43=60,95552
162/3=54,95551
3*8-5=19,95550
3*8-9=15,95549
13+2-6=9,95536
16-4*2=8,95535
54+29=83,95527
9*7-1=62,95521
45+37=82,95521
7*4+1=29,95512
7*9-1=62,95506
12+3-9=6,95505
80-26=54,95504
13+47=60,95488
25+48=73,95484
58+34=92,95476
4*9-1=35,95462
54+38=92,95458
4+7*2=18,95456
12+3-6=9,95455
35+47=82,95452
38+27=65,95450
18+52=70,95445
47+35=82,95443
1+3*9=28,95440
4*3+5=17,95431
31+29=60,95430
9*4-1=35,95429
7*5-1=34,95428
2+5*3=17,95428
15-2*6=3,95415
5*7-1=34,95405
64+25=89,95404
23+64=87,95403
3*4-2=10,95390
4+2*7=18,95385
12+58=70,95381
28+37=65,95378
37+45=82,95374
21+39=60,95358
7+4*2=15,95357
80-54=26,95355
7*2+5=19,95354
65+24=89,95345
5*3+4=19,95329
59+24=83,95317
38+54=92,95311
13+2-7=8,95304
37+28=65,95295
34+58=92,95293
80-56=24,95291
56+42=98,95291
24+59=83,95290
3+8*2=19,95273
2+3*5=17,95272
7+2*4=15,95263
152/4=38,95253
9-3+8=14,95252
36+14=50,95239
52+46=98,95232
34+16=50,95226
12+3-7=8,95223
27+38=65,95223
1+4*7=29,95222
4*3-2=10,95219
12-6+3=9,95211
9-4+8=13,95203
1+7*4=29,95199
46+52=98,95195
8-3+9=14,95193
9+2*3=15,95191
8*3-5=19,95186
8*3-9=15,95185
46+29=75,95183
68+25=93,95158
56+27=83,95155
8-4+9=13,95144
42+56=98,95136
3*4+7=19,95134
13+2-8=7,95120
49+21=70,95115
9+3*2=15,95113
13-6+2=9,95103
65+28=93,95081
29+54=83,95080
4+8-2=10,95068
14+2-7=9,95065
6+4*3=18,95059
26+49=75,95042
12+3-8=7,95039
6*8-1=47,95028
3+2*8=19,95025
9*7-2=61,95005
57+26=83,95005
14+2-9=7,94995
7*9-2=61,94990
146/2=73,94987
56+23=79,94984
29+41=70,94974
24+65=89,94969
4*3+7=19,94963
8*6-1=47,94961
49+26=75,94960
5+6*2=17,94944
4*9-5=31,94933
26+57=83,94918
38+29=67,94913
9+4*2=17,94911
25+64=89,94910
15-2*4=7,94910
9*4-5=31,94900
18-2*7=4,94895
6+3*4=18,94887
16+54=70,94880
7*6+1=43,94876
8+4-2=10,94875
14+56=70,94867
134/2=67,94864
168/7=24,94854
7*5-4=31,94843
28+39=67,94841
9*6-1=53,94824
5*7-4=31,94820
9+4*3=21,94820
29+46=75,94819
9+2*4=17,94817
192/3=64,94801
6+5*3=21,94798
6*7+1=43,94798
15-6*2=3,94786
5+2*6=17,94778
